Student ID,Passed
03,false
01,false
00,true
04,true
02,true
00,true
00,true
03,false
01,false
02,true
04,true
00,true
00,true
00,true
00,true
00,true
00,true
01,false
00,true
03,false
01,false
00,true
04,true
02,true
01,false
00,true
01,false
01,false
01,false
01,false
01,false
01,false
00,true
00,true
01,false
03,false
01,false
00,true
04,true
02,true
00,true
03,false
01,false
00,true
04,true
02,true
03,false
01,false
00,true
04,true
02,true
00,true
03,false
01,false
00,true
04,true
02,true
03,false
01,false
00,true
04,true
02,true
00,true
03,false
01,false
00,true
04,true
02,true
03,false
01,false
00,true
04,true
02,true
00,true
MyWeb!.html,false
vigenere,false
vigenere,false
spf_analyzer,false
03,false
01,false
00,true
04,true
02,true
03,false
01,false
00,true
04,true
02,true
03,false
01,false
00,true
04,true
02,true
00,true
03,false
01,false
00,true
04,true
02,true
00,true
03,false
01,false
00,true
04,true
02,true
03,false
01,false
00,true
04,true
02,true
03,false
01,false
00,true
04,true
02,true
00,true
02,true
03,false
01,false
00,true
04,true
02,true
